clone_id	n_cells
clone_1342	1
clone_1343	1
clone_1344	1
clone_1345	1
clone_1346	1
clone_1347	1
clone_1348	1
clone_1349	1
clone_1350	1
clone_1351	1
clone_1352	1
clone_1353	1
clone_1354	1
clone_1355	1
clone_1356	1
clone_1357	1
clone_1358	1
clone_1359	1
clone_1360	1
clone_1361	1
clone_1362	1
clone_1363	1
clone_1364	1
clone_1365	1
clone_1366	1
clone_1367	1
clone_1368	1
clone_1369	1
clone_1370	1
clone_1371	1
clone_1372	1
clone_1373	1
clone_1374	1
clone_1375	1
clone_1376	1
clone_1377	1
clone_1378	1
clone_1379	1
clone_1380	1
clone_1381	1
clone_1382	1
clone_1383	1
clone_1384	1
clone_1385	1
clone_1386	1
clone_1387	1
clone_1388	1
clone_1389	1
clone_1390	1
clone_1391	1
clone_1392	1
clone_1393	1
clone_1394	1
clone_1395	1
clone_1396	1
clone_1397	1
clone_1398	1
clone_1399	1
clone_1400	1
clone_1401	1
clone_1402	1
clone_1403	1
clone_1404	1
clone_1405	1
clone_1406	1
clone_1407	1
clone_1408	1
clone_1409	1
clone_1410	1
clone_1411	1
clone_1412	1
clone_1413	1
clone_1414	1
clone_1415	1
clone_1416	1
clone_1417	1
clone_1418	1
clone_1419	1
clone_1420	1
clone_1421	1
clone_1422	1
clone_1423	1
clone_1424	1
clone_1425	1
clone_1426	1
clone_1427	1
clone_1428	1
clone_1429	1
clone_1430	1
clone_1431	1
clone_1432	1
clone_1433	1
clone_1434	1
clone_1435	1
clone_1436	1
